Route_ID,Final_Destination,Stop_Order,Station_Name
1,Universidades – CityU,1,Portal El Dorado – C.C. Nuestro Bogotá
1,Universidades – CityU,2,Modelia
1,Universidades – CityU,3,Normandía
1,Universidades – CityU,4,Avenida Rojas - UNISALESIANA
1,Universidades – CityU,5,El Tiempo – Cámara de Comercio de Bogotá
1,Universidades – CityU,6,Salitre - El Greco
1,Universidades – CityU,7,CAN
1,Universidades – CityU,8,Gobernación
1,Universidades – CityU,9,Quinta Paredes
1,Universidades – CityU,10,Corferias
1,Universidades – CityU,11,Ciudad Universitaria - Lotería de Bogotá
1,Universidades – CityU,12,Concejo de Bogotá
1,Universidades – CityU,13,Centro Memoria
1,Universidades – CityU,14,Universidades – CityU
1,Portal El Dorado – C.C. Nuestro Bogotá,1,Universidades – CityU
1,Portal El Dorado – C.C. Nuestro Bogotá,2,Centro Memoria
1,Portal El Dorado – C.C. Nuestro Bogotá,3,Concejo de Bogotá
1,Portal El Dorado – C.C. Nuestro Bogotá,4,Ciudad Universitaria - Lotería de Bogotá
1,Portal El Dorado – C.C. Nuestro Bogotá,5,Corferias
1,Portal El Dorado – C.C. Nuestro Bogotá,6,Quinta Paredes
1,Portal El Dorado – C.C. Nuestro Bogotá,7,Gobernación
1,Portal El Dorado – C.C. Nuestro Bogotá,8,CAN
1,Portal El Dorado – C.C. Nuestro Bogotá,9,Salitre - El Greco
1,Portal El Dorado – C.C. Nuestro Bogotá,10,El Tiempo – Cámara de Comercio de Bogotá
1,Portal El Dorado – C.C. Nuestro Bogotá,11,Avenida Rojas - UNISALESIANA
1,Portal El Dorado – C.C. Nuestro Bogotá,12,Normandía
1,Portal El Dorado – C.C. Nuestro Bogotá,13,Modelia
1,Portal El Dorado – C.C. Nuestro Bogotá,14,Portal El Dorado – C.C. Nuestro Bogotá
2,Museo Nacional,1,Portal 20 de Julio
2,Museo Nacional,2,Country Sur
2,Museo Nacional,3,AV. 1 Mayo
2,Museo Nacional,4,Ciudad Jardín - UAN
2,Museo Nacional,5,Policarpa
